"exp","partId","selfShape","nBlock","nTrial","shape","word","match","resp","rt","corr"
"e1",7553574,"Self-Triangle Task",1,1,"btriangle.png","You","Match ","Match ",708.213999998508,1
"e1",7553574,"Self-Triangle Task",1,2,"circle.png","Stranger","Mismatch ","Match ",596.905999999261,0
"e1",7553574,"Self-Triangle Task",1,3,"circle.png","Friend","Match ","Match ",581.248000000007,1
"e1",7553574,"Self-Triangle Task",1,4,"btriangle.png","You","Match ","Match ",633.313999998514,1
"e1",7553574,"Self-Triangle Task",1,5,"btriangle.png","You","Match ","Mismatch ",689.380999998888,0
"e1",7553574,"Self-Triangle Task",1,6,"btriangle.png","Friend","Mismatch ","",1499.99099999999,0
"e1",7553574,"Self-Triangle Task",1,7,"circle.png","You","Mismatch ","Match ",627.12299999925,0
"e1",7553574,"Self-Triangle Task",1,8,"square.png","Friend","Mismatch ","Mismatch ",760.657999999996,1
"e1",7553574,"Self-Triangle Task",1,9,"btriangle.png","Friend","Mismatch ","Mismatch ",644.5,1
"e1",7553574,"Self-Triangle Task",1,10,"btriangle.png","You","Match ","Match ",422.672999999631,1
"e1",7553574,"Self-Triangle Task",1,11,"circle.png","Friend","Match ","Mismatch ",442.804999999629,0
"e1",7553574,"Self-Triangle Task",1,12,"btriangle.png","Friend","Mismatch ","Mismatch ",889.298999999621,1
"e1",7553574,"Self-Triangle Task",1,13,"square.png","Stranger","Match ","Mismatch ",903.333999999624,0
"e1",7553574,"Self-Triangle Task",1,14,"btriangle.png","Stranger","Mismatch ","Match ",426.104000000007,0
"e1",7553574,"Self-Triangle Task",1,15,"square.png","Friend","Mismatch ","Mismatch ",598.021999999255,1
"e1",7553574,"Self-Triangle Task",1,16,"btriangle.png","You","Match ","Match ",588.498999999254,1
"e1",7553574,"Self-Triangle Task",1,17,"square.png","Stranger","Match ","Mismatch ",745.272999998502,0
"e1",7553574,"Self-Triangle Task",1,18,"square.png","You","Mismatch ","Match ",594.77499999851,0
"e1",7553574,"Self-Triangle Task",1,19,"circle.png","You","Mismatch ","Mismatch ",495.502999999619,1
"e1",7553574,"Self-Triangle Task",1,20,"square.png","Stranger","Match ","Mismatch ",525.412000000011,0
"e1",7553574,"Self-Triangle Task",1,21,"btriangle.png","You","Match ","Match ",727.997999998508,1
"e1",7553574,"Self-Triangle Task",1,22,"circle.png","Friend","Match ","Mismatch ",403.952999999252,0
"e1",7553574,"Self-Triangle Task",1,23,"btriangle.png","Stranger","Mismatch ","Match ",689.401999998896,0
"e1",7553574,"Self-Triangle Task",1,24,"btriangle.png","Stranger","Mismatch ","",1499.90900000001,0
"e1",7553574,"Self-Triangle Task",1,25,"btriangle.png","You","Match ","Match ",647.265999998868,1
"e1",7553574,"Self-Triangle Task",1,26,"square.png","Friend","Mismatch ","Mismatch ",711.349999998871,1
"e1",7553574,"Self-Triangle Task",1,27,"square.png","Friend","Mismatch ","Mismatch ",932.805999998498,1
"e1",7553574,"Self-Triangle Task",1,28,"square.png","You","Mismatch ","Mismatch ",531.348999998881,1
"e1",7553574,"Self-Triangle Task",1,29,"btriangle.png","You","Match ","Mismatch ",587.782000000007,0
"e1",7553574,"Self-Triangle Task",1,30,"circle.png","You","Mismatch ","Match ",699.364999999641,0
"e1",7553574,"Self-Triangle Task",1,31,"circle.png","Stranger","Mismatch ","Mismatch ",608.288,1
"e1",7553574,"Self-Triangle Task",1,32,"circle.png","Friend","Match ","Mismatch ",516.656000000017,0
"e1",7553574,"Self-Triangle Task",1,33,"btriangle.png","Friend","Mismatch ","Mismatch ",836.740999999252,1
"e1",7553574,"Self-Triangle Task",1,34,"square.png","Stranger","Match ","Mismatch ",530.051000000007,0
"e1",7553574,"Self-Triangle Task",1,35,"circle.png","Friend","Match ","Mismatch ",566.525999998878,0
